NAME,TEAM_NAME,YEAR,RK,POS,AGE,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
Mark Melancon,BOS,2012,42,P,27,41,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
Rich Hill,BOS,2012,43,P,32,25,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
Andrew Miller,BOS,2012,44,P,27,53,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
Zach Stewart,BOS,2012,45,P,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
Michael Bowden,BOS,2012,46,P,25,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
Andrew Bailey,BOS,2012,47,P,28,19,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
Junichi Tazawa,BOS,2012,48,P,26,37,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
Scott Atchison,BOS,2012,49,P,36,42,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
Aaron Cook,BOS,2012,50,P,33,18,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
Pedro Beato,BOS,2012,51,P,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
Justin Thomas,BOS,2012,52,P,28,7,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
Alfredo Aceves,BOS,2012,53,P,29,69,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
Chris Carpenter,BOS,2012,54,P,26,8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
Matt Albers,BOS,2012,55,P,29,40,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
Justin Germano,BOS,2012,56,P,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
