NAME,TEAM_NAME,YEAR,SALARY,POSITION,HEIGHT,WEIGHT
Nick Ahmed,ARI,2015,"508,500",Shortstop,6'2,195lb
Nick Ahmed,ARI,2016,"521,600",Shortstop,6'2,195lb
Nick Ahmed,ARI,,,Shortstop,6'2,195lb
Nick Ahmed,ARI,2017,"566,000",Shortstop,6'2,195lb
