NAME,TEAM_NAME,YEAR,RK,POS,AGE,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
Geovany Soto,CHC,2012,1,C,29,52,197,176,26,35,6,1,6,14,0,0,19,35,0.199,0.284,0.347,0.631,70,61,6,2,0,0,1
Anthony Rizzo,CHC,2012,2,1B,22,87,368,337,44,96,15,0,15,48,3,2,27,62,0.285,0.342,0.463,0.805,116,156,7,3,0,1,1
Darwin Barney,CHC,2012,3,2B,26,156,588,548,73,139,26,4,7,44,6,1,33,58,0.254,0.299,0.354,0.653,76,194,11,3,3,1,1
Starlin Castro,CHC,2012,4,SS,22,162,691,646,78,183,29,12,14,78,25,13,36,100,0.283,0.323,0.43,0.753,102,278,15,4,0,5,5
Luis Valbuena,CHC,2012,5,3B,26,90,303,265,26,58,20,0,4,28,0,2,36,55,0.219,0.31,0.34,0.65,76,90,6,0,0,2,1
Alfonso Soriano,CHC,2012,6,LF,36,151,615,561,68,147,33,2,32,108,6,2,44,153,0.262,0.322,0.499,0.821,118,280,18,7,0,3,5
Tony Campana,CHC,2012,7,CF,26,89,192,174,26,46,6,0,0,5,30,3,11,43,0.264,0.308,0.299,0.607,66,52,0,0,7,0,0
David DeJesus,CHC,2012,8,RF,32,148,582,506,76,133,28,8,9,50,7,8,61,89,0.263,0.35,0.403,0.753,104,204,9,9,2,4,1
Bryan LaHair,CHC,2012,9,UT,29,130,380,340,42,88,17,0,16,40,4,2,39,124,0.259,0.334,0.45,0.784,110,153,8,0,0,1,3
Joe Mather,CHC,2012,10,UT,29,103,243,225,18,47,11,0,5,19,5,2,14,46,0.209,0.256,0.324,0.581,56,73,4,1,1,2,1
Steve Clevenger,CHC,2012,11,C,26,69,215,199,16,40,12,0,1,16,0,1,16,39,0.201,0.26,0.276,0.537,46,55,10,0,0,0,0
Ian Stewart,CHC,2012,12,3B,27,55,202,179,16,36,5,2,5,17,0,3,21,46,0.201,0.292,0.335,0.627,70,60,5,2,0,0,4
Welington Castillo,CHC,2012,13,C,25,52,190,170,16,45,11,0,5,22,0,0,17,51,0.265,0.337,0.418,0.754,103,71,4,2,0,1,2
Reed Johnson,CHC,2012,14,OF,35,76,183,169,23,51,9,3,3,16,2,1,10,43,0.302,0.355,0.444,0.799,115,75,3,4,0,0,1
Jeff Baker,CHC,2012,15,UT,31,54,144,134,16,36,10,1,4,20,4,1,8,28,0.269,0.306,0.448,0.753,101,60,4,0,0,2,0
Brett Jackson,CHC,2012,16,CF,23,44,142,120,14,21,6,1,4,9,0,3,22,59,0.175,0.303,0.342,0.644,75,41,1,0,0,0,0
Josh Vitters,CHC,2012,17,3B,22,36,109,99,7,12,2,0,2,5,2,0,7,33,0.121,0.193,0.202,0.395,7,20,6,2,0,1,0
Dave Sappelt,CHC,2012,18,RF,25,26,78,69,8,19,6,0,2,8,0,0,7,9,0.275,0.351,0.449,0.8,115,31,1,1,1,0,1
Adrian Cardenas,CHC,2012,19,UT,24,45,67,60,5,11,6,0,0,2,0,0,7,13,0.183,0.269,0.283,0.552,50,17,0,0,0,0,1
Marlon Byrd,CHC,2012,20,CF,34,13,47,43,1,3,0,0,0,2,0,1,3,10,0.07,0.149,0.07,0.219,-38,3,2,1,0,0,1
Koyie Hill,CHC,2012,21,C,33,11,39,39,3,7,1,0,0,1,0,0,0,7,0.179,0.179,0.205,0.385,4,8,0,0,0,0,0
Blake DeWitt,CHC,2012,22,UT,26,18,30,29,1,4,1,0,0,1,0,0,0,2,0.138,0.133,0.172,0.306,-18,5,1,0,0,1,0
Anthony Recker,CHC,2012,23,UT,28,9,21,18,1,3,1,0,1,4,0,0,2,2,0.167,0.286,0.389,0.675,81,7,1,1,0,0,0
Blake Lalli,CHC,2012,24,UT,29,6,16,15,1,2,0,0,0,2,0,0,1,3,0.133,0.188,0.133,0.321,-11,2,0,0,0,0,0
Jeff Samardzija,CHC,2012,25,P,27,31,61,50,0,5,0,0,0,3,0,0,3,16,0.1,0.167,0.1,0.267,-25,5,1,1,7,0,0
Travis Wood,CHC,2012,26,P,25,28,55,53,5,10,3,0,1,4,0,0,0,20,0.189,0.189,0.302,0.491,30,16,1,0,2,0,0
Paul Maholm,CHC,2012,27,P,30,21,43,39,1,3,0,0,1,3,0,0,2,22,0.077,0.122,0.154,0.276,-26,6,1,0,2,0,0
Chris Volstad,CHC,2012,28,P,25,21,34,28,0,5,0,0,0,0,0,0,0,10,0.179,0.179,0.179,0.357,-3,5,0,0,6,0,0
