NAME,TEAM_NAME,YEAR,RK,POS,AGE,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
Matt Garza,CHC,2012,29,P,28,18,34,30,0,2,1,0,0,0,0,0,0,23,0.067,0.067,0.1,0.167,-56,3,0,0,4,0,0
Ryan Dempster,CHC,2012,30,P,35,16,33,32,1,3,0,1,0,1,0,0,0,9,0.094,0.094,0.156,0.25,-34,5,0,0,1,0,0
Justin Germano,CHC,2012,31,P,29,13,24,17,1,1,0,0,0,0,0,0,1,10,0.059,0.111,0.059,0.17,-52,1,0,0,6,0,0
Chris Rusin,CHC,2012,32,P,25,7,12,12,0,2,0,1,0,0,0,0,0,5,0.167,0.167,0.333,0.5,31,4,0,0,0,0,0
Brooks Raley,CHC,2012,33,P,24,5,10,10,0,2,0,0,0,0,0,0,0,1,0.2,0.2,0.2,0.4,9,2,0,0,0,0,0
Jason Berken,CHC,2012,34,P,28,4,5,5,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0
Randy Wells,CHC,2012,35,P,29,12,4,4,0,1,0,0,0,0,0,0,0,2,0.25,0.25,0.25,0.5,36,1,0,0,0,0,0
Casey Coleman,CHC,2012,36,P,24,17,3,3,0,1,0,0,0,0,0,0,0,1,0.333,0.333,0.333,0.667,82,1,0,0,0,0,0
Scott Maine,CHC,2012,37,P,27,21,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0
Michael Bowden,CHC,2012,38,P,25,30,2,2,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0
Manny Corpas,CHC,2012,39,P,29,48,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0
Kerry Wood,CHC,2012,40,P,35,10,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0
James Russell,CHC,2012,41,P,26,77,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0
Miguel Socolovich,CHC,2012,42,P,25,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
Alberto Cabrera,CHC,2012,43,P,23,25,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
Jeff Beliveau,CHC,2012,44,P,25,22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
Shawn Camp,CHC,2012,45,P,36,80,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
Carlos Marmol,CHC,2012,46,P,29,61,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
Alex Hinshaw,CHC,2012,47,P,29,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
Rafael Dolis,CHC,2012,48,P,24,34,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
Jairo Asencio,CHC,2012,49,P,29,12,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
Blake Parker,CHC,2012,50,P,27,7,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
Lendy Castillo,CHC,2012,51,P,23,13,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
Jaye Chapman,CHC,2012,52,P,25,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
Rodrigo Lopez,CHC,2012,53,P,36,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
