NAME,TEAM_NAME,YEAR,SALARY,POSITION,HEIGHT,WEIGHT
Chris Owings,ARI,2014,"500,000","Shortstop, Second Baseman and Outfielder",5'1,185lb
Chris Owings,ARI,2015,"512,500","Shortstop, Second Baseman and Outfielder",5'1,185lb
Chris Owings,ARI,2016,"530,500","Shortstop, Second Baseman and Outfielder",5'1,185lb
Chris Owings,ARI,2017,"2,300,000","Shortstop, Second Baseman and Outfielder",5'1,185lb
