NAME,TEAM_NAME,YEAR,RK,POS,AGE,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
Matt Wieters,BAL,2012,1,C,26,144,593,526,67,131,27,1,23,83,3,0,60,112,0.249,0.329,0.435,0.764,107,229,17,4,0,3,4
Mark Reynolds,BAL,2012,2,1B,28,135,538,457,65,101,26,0,23,69,1,3,73,159,0.221,0.335,0.429,0.763,107,196,19,6,0,2,2
Robert Andino,BAL,2012,3,2B,28,127,431,384,41,81,13,1,7,28,5,5,37,100,0.211,0.283,0.305,0.588,61,117,13,2,7,1,0
J.J. Hardy,BAL,2012,4,SS,29,158,713,663,85,158,30,2,22,68,0,0,38,106,0.238,0.282,0.389,0.671,81,258,21,3,7,2,4
Wilson Betemit,BAL,2012,5,3B,30,102,376,341,41,89,19,0,12,40,0,1,31,103,0.261,0.322,0.422,0.744,101,144,8,1,0,3,0
Nate McLouth,BAL,2012,6,LF,30,55,236,209,35,56,12,1,7,18,12,1,22,43,0.268,0.342,0.435,0.777,111,91,2,2,2,1,1
Adam Jones,BAL,2012,7,CF,26,162,697,648,103,186,39,3,32,82,16,7,34,126,0.287,0.334,0.505,0.839,125,327,15,13,0,2,0
Nick Markakis,BAL,2012,8,RF,28,104,471,420,59,125,28,3,13,54,1,1,42,51,0.298,0.363,0.471,0.834,126,198,11,4,0,5,3
Chris Davis,BAL,2012,9,DH,26,139,562,515,75,139,20,0,33,85,2,3,37,169,0.27,0.326,0.501,0.827,121,258,8,7,0,3,6
Manny Machado,BAL,2012,10,3B,19,51,202,191,24,50,8,3,7,26,2,0,9,38,0.262,0.294,0.445,0.739,98,85,6,0,1,1,0
Endy Chavez,BAL,2012,11,OF,34,64,169,158,15,32,6,0,2,12,3,2,6,24,0.203,0.236,0.278,0.515,40,44,2,1,4,0,1
Ryan Flaherty,BAL,2012,12,UT,25,77,167,153,15,33,2,1,6,19,1,0,6,43,0.216,0.258,0.359,0.617,66,55,3,3,3,1,0
Jim Thome,BAL,2012,13,DH,41,28,115,101,8,26,5,0,3,10,0,0,14,40,0.257,0.348,0.396,0.744,103,40,4,0,0,0,2
Omar Quintanilla,BAL,2012,14,2B,30,36,110,99,12,23,3,0,3,12,0,1,8,25,0.232,0.284,0.354,0.638,73,35,1,0,1,2,0
Xavier Avery,BAL,2012,15,LF,22,32,107,94,14,21,6,1,1,6,6,3,11,23,0.223,0.305,0.34,0.645,76,32,2,0,2,0,0
Nick Johnson,BAL,2012,16,DH,33,38,102,87,9,18,4,0,4,11,2,0,11,26,0.207,0.324,0.391,0.714,94,34,4,4,0,0,0
Steve Pearce,BAL,2012,17,OF,29,28,83,71,8,18,4,0,3,14,0,1,8,17,0.254,0.321,0.437,0.758,104,31,1,0,2,2,0
