NAME,TEAM_NAME,YEAR,RK,POS,AGE,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
Lew Ford,BAL,2012,18,UT,35,25,79,71,7,13,3,0,3,4,1,0,7,13,0.183,0.256,0.352,0.609,64,25,3,0,1,0,0
Steven Tolleson,BAL,2012,19,UT,28,29,76,71,4,13,3,0,2,6,1,0,4,17,0.183,0.227,0.31,0.537,45,22,2,0,1,0,0
Brian Roberts,BAL,2012,20,2B,34,17,74,66,2,12,0,0,0,5,1,1,5,12,0.182,0.233,0.182,0.415,16,12,0,0,1,2,0
Nolan Reimold,BAL,2012,21,LF,28,16,69,67,10,21,6,0,5,10,1,0,2,14,0.313,0.333,0.627,0.96,154,42,3,0,0,0,0
Ronny Paulino,BAL,2012,22,UT,31,20,64,63,5,16,3,0,0,5,0,0,1,9,0.254,0.266,0.302,0.567,55,19,6,0,0,0,0
Taylor Teagarden,BAL,2012,23,C,28,22,64,57,4,9,3,0,2,9,0,0,5,23,0.158,0.226,0.316,0.542,46,18,1,0,2,0,0
Luis Exposito,BAL,2012,24,C,25,9,22,18,2,1,0,0,0,0,0,0,3,5,0.056,0.19,0.056,0.246,-28,1,0,0,0,0,0
Bill Hall,BAL,2012,25,UT,32,7,14,9,2,2,0,0,1,1,0,0,5,7,0.222,0.5,0.556,1.056,188,5,0,0,0,0,1
Joe Mahoney,BAL,2012,26,1B,25,2,4,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0
L.J. Hoes,BAL,2012,27,UT,22,2,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0
Jason Hammel,BAL,2012,28,P,29,20,7,4,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,-100,0,0,0,3,0,0
Wei-Yin Chen,BAL,2012,29,P,26,32,4,3,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100,0,0,0,1,0,0
Jake Arrieta,BAL,2012,30,P,26,24,4,3,0,0,0,0,0,0,0,0,1,2,0.0,0.25,0.0,0.25,-23,0,0,0,0,0,0
Brian Matusz,BAL,2012,31,P,25,34,4,4,0,1,0,0,0,0,0,0,0,2,0.25,0.25,0.25,0.5,38,1,0,0,0,0,0
Tommy Hunter,BAL,2012,32,P,25,33,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0
Miguel Socolovich,BAL,2012,33,P,25,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
Jim Johnson,BAL,2012,34,P,29,71,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
Zach Britton,BAL,2012,35,P,24,12,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
Kevin Gregg,BAL,2012,36,P,34,40,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
Joe Saunders,BAL,2012,37,P,31,7,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
Matt Lindstrom,BAL,2012,38,P,32,34,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
Dana Eveland,BAL,2012,39,P,28,14,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
Steve Johnson,BAL,2012,40,P,24,12,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
Jason Berken,BAL,2012,41,P,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
Dylan Bundy,BAL,2012,42,P,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
Luis Ayala,BAL,2012,43,P,34,66,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
Miguel Gonzalez,BAL,2012,44,P,28,18,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
Chris Tillman,BAL,2012,45,P,24,15,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
Randy Wolf,BAL,2012,46,P,35,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
Stu Pomeranz,BAL,2012,47,P,27,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
Pedro Strop,BAL,2012,48,P,27,70,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
J.C. Romero,BAL,2012,49,P,36,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
Zach Phillips,BAL,2012,50,P,25,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
Darren O'Day,BAL,2012,51,P,29,69,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
Troy Patton,BAL,2012,52,P,26,54,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
