NAME,TEAM_NAME,YEAR,SALARY,POSITION,HEIGHT,WEIGHT
Yasmany Tomás,ARI,2015,"5,500,000",Outfielder and Third Baseman,6'2,250lb
Yasmany Tomás,ARI,2016,"7,500,000",Outfielder and Third Baseman,6'2,250lb
Yasmany Tomás,ARI,2017,"9,500,000",Outfielder and Third Baseman,6'2,250lb
Yasmany Tomás,ARI,,,Outfielder and Third Baseman,6'2,250lb
Yasmany Tomás,ARI,2018,"13,500,000",Outfielder and Third Baseman,6'2,250lb
Yasmany Tomás,ARI,2019,"15,500,000",Outfielder and Third Baseman,6'2,250lb
Yasmany Tomás,ARI,2020,"17,000,000",Outfielder and Third Baseman,6'2,250lb
