NAME,TEAM_NAME,YEAR,RK,POS,AGE,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
Miguel Montero,ARI,2013,1,C,29,116,475,413,44,95,14,0,11,42,0,0,51,110,0.23,0.318,0.344,0.662,83,142,18,5,0,6,4
Paul Goldschmidt,ARI,2013,2,1B,25,160,710,602,103,182,36,3,36,125,15,7,99,145,0.302,0.401,0.551,0.952,160,332,25,3,0,5,19
Aaron Hill,ARI,2013,3,2B,31,87,362,327,45,95,21,1,11,41,1,4,29,48,0.291,0.356,0.462,0.818,124,151,6,5,0,1,2
Didi Gregorius,ARI,2013,4,SS,23,103,404,357,47,90,16,3,7,28,0,2,37,65,0.252,0.332,0.373,0.704,94,133,4,6,2,1,5
Martin Prado,ARI,2013,5,3B,29,155,664,609,70,172,36,2,14,82,3,5,47,53,0.282,0.333,0.417,0.75,105,254,29,2,0,6,2
Jason Kubel,ARI,2013,6,LF,31,89,267,241,21,53,8,1,5,32,0,1,24,82,0.22,0.288,0.324,0.612,69,78,6,0,0,2,3
A.J. Pollock,ARI,2013,7,CF,25,137,482,443,64,119,28,5,8,38,12,3,33,82,0.269,0.322,0.409,0.73,100,181,5,2,3,1,1
Gerardo Parra,ARI,2013,8,RF,26,156,663,601,79,161,43,4,10,48,10,10,48,100,0.268,0.323,0.403,0.726,99,242,12,3,7,4,3
Cody Ross,ARI,2013,9,OF,32,94,351,317,33,88,17,1,8,38,3,2,25,50,0.278,0.331,0.413,0.745,104,131,10,3,1,5,1
Cliff Pennington,ARI,2013,10,MI,29,96,299,269,25,65,13,1,1,18,2,0,26,54,0.242,0.31,0.309,0.618,72,83,7,1,2,1,5
Adam Eaton,ARI,2013,11,OF,24,66,277,250,40,63,10,4,3,22,5,2,17,44,0.252,0.314,0.36,0.674,86,90,4,6,3,1,0
Eric Chavez,ARI,2013,12,3B,35,80,254,228,28,64,14,2,9,44,1,0,19,45,0.281,0.332,0.478,0.81,120,109,7,1,0,5,4
Wil Nieves,ARI,2013,13,C,35,71,206,195,16,58,11,0,1,22,0,0,8,32,0.297,0.32,0.369,0.69,90,72,7,0,0,3,0
Willie Bloomquist,ARI,2013,14,UT,35,48,150,139,16,44,5,1,0,14,0,2,8,11,0.317,0.36,0.367,0.727,101,51,3,2,0,1,0
Matt Davidson,ARI,2013,15,3B,22,31,87,76,8,18,6,0,3,12,0,1,10,24,0.237,0.333,0.434,0.768,110,33,1,1,0,0,1
Josh Wilson,ARI,2013,16,2B,32,30,65,60,9,12,1,1,1,4,0,0,5,17,0.2,0.262,0.3,0.562,55,18,6,0,0,0,0
Chris Owings,ARI,2013,17,MI,21,20,61,55,5,16,5,0,0,5,2,0,6,10,0.291,0.361,0.382,0.742,105,21,0,0,0,0,1
Eric Hinske,ARI,2013,18,UT,35,52,58,52,2,9,3,0,1,6,0,0,6,17,0.173,0.259,0.288,0.547,51,15,2,0,0,0,0
Tony Campana,ARI,2013,19,CF,27,29,54,46,10,12,0,1,0,0,8,2,8,14,0.261,0.37,0.304,0.675,89,14,0,0,0,0,0
Alfredo Marte,ARI,2013,20,UT,24,22,48,43,4,8,3,0,0,4,0,0,4,12,0.186,0.271,0.256,0.527,47,11,0,1,0,0,0
Tuffy Gosewisch,ARI,2013,21,C,29,14,47,45,1,8,2,0,0,3,0,0,0,8,0.178,0.174,0.222,0.396,8,10,3,0,1,1,0
Patrick Corbin,ARI,2013,22,P,23,33,73,65,8,8,4,0,0,3,0,0,2,23,0.123,0.162,0.185,0.346,-5,12,0,1,5,0,0
Wade Miley,ARI,2013,23,P,26,34,69,60,2,8,3,0,1,8,0,0,1,16,0.133,0.148,0.233,0.381,3,14,3,0,8,0,0
Trevor Cahill,ARI,2013,24,P,25,26,53,49,2,4,1,1,0,5,0,0,0,20,0.082,0.082,0.143,0.224,-40,7,0,0,4,0,0
Ian Kennedy,ARI,2013,25,P,28,22,44,37,0,5,2,0,0,1,0,0,2,19,0.135,0.179,0.189,0.369,2,7,1,0,5,0,0
Brandon McCarthy,ARI,2013,26,P,29,22,42,37,0,1,0,0,0,0,0,0,3,15,0.027,0.1,0.027,0.127,-63,1,0,0,2,0,0
Randall Delgado,ARI,2013,27,P,23,21,37,32,2,7,0,0,0,1,0,0,1,13,0.219,0.242,0.219,0.461,29,7,1,0,4,0,0
Tyler Skaggs,ARI,2013,28,P,21,7,13,10,0,2,0,0,0,1,0,0,0,5,0.2,0.2,0.2,0.4,11,2,0,0,3,0,0
Josh Collmenter,ARI,2013,29,P,27,49,12,11,1,1,0,0,0,0,0,0,0,5,0.091,0.167,0.091,0.258,-26,1,0,1,0,0,0
Brad Ziegler,ARI,2013,30,P,33,78,2,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0
Zeke Spruill,ARI,2013,31,P,23,6,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0
Matt Langwell,ARI,2013,32,P,27,8,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0
Chaz Roe,ARI,2013,33,P,26,21,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0
David Holmberg,ARI,2013,34,P,21,1,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0
Eury De La Rosa,ARI,2013,35,P,23,19,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0
Joe Thatcher,ARI,2013,36,P,31,22,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
Heath Bell,ARI,2013,37,P,35,69,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
David Hernandez,ARI,2013,38,P,28,62,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
