NAME,TEAM_NAME,YEAR,RK,POS,AGE,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
Alex Wood,ATL,2013,29,P,22,31,22,21,1,0,0,0,0,0,0,0,0,15,0.0,0.0,0.0,0.0,-100,0,0,0,1,0,0
Brandon Beachy,ATL,2013,30,P,26,5,12,8,1,1,0,0,0,0,0,0,1,3,0.125,0.222,0.125,0.347,0,1,0,0,3,0,0
Freddy Garcia,ATL,2013,31,P,36,6,10,8,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,-100,0,0,0,2,0,0
David Hale,ATL,2013,32,P,25,2,4,4,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0
David Carpenter,ATL,2013,33,P,27,56,4,3,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,1,0,0
Kameron Loe,ATL,2013,34,P,31,9,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0
Anthony Varvaro,ATL,2013,35,P,28,62,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0
Luis Avilan,ATL,2013,36,P,23,75,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,1,0,0
Eric O'Flaherty,ATL,2013,37,P,28,19,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
Cory Gearrin,ATL,2013,38,P,27,37,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
Jordan Walden,ATL,2013,39,P,25,50,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
Cristhian Martinez,ATL,2013,40,P,31,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
Craig Kimbrel,ATL,2013,41,P,25,68,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
Luis Ayala,ATL,2013,42,P,35,37,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
Scott Downs,ATL,2013,43,P,37,25,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
Cory Rasmus,ATL,2013,44,P,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,0,0,0,0,0,0
