NAME,TEAM_NAME,YEAR,RK,POS,AGE,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
Brian McCann,ATL,2013,1,C,29,102,402,356,43,91,13,0,20,57,0,1,39,66,0.256,0.336,0.461,0.796,118,164,9,5,0,2,3
Freddie Freeman,ATL,2013,2,1B,23,147,629,551,89,176,27,2,23,109,1,0,66,121,0.319,0.396,0.501,0.897,147,276,10,7,0,5,10
Dan Uggla,ATL,2013,3,2B,33,136,537,448,60,80,10,3,22,55,2,0,77,171,0.179,0.309,0.362,0.671,85,162,7,9,0,3,2
Andrelton Simmons,ATL,2013,4,SS,23,157,658,606,76,150,27,6,17,59,6,5,40,55,0.248,0.296,0.396,0.692,90,240,16,3,5,4,1
Chris Johnson,ATL,2013,5,3B,28,142,547,514,54,165,34,0,12,68,0,0,29,116,0.321,0.358,0.457,0.816,124,235,20,2,0,2,5
Justin Upton,ATL,2013,6,LF,25,149,643,558,94,147,27,2,27,70,8,1,75,161,0.263,0.354,0.464,0.818,124,259,12,5,1,4,4
Melvin Upton,ATL,2013,7,CF,28,126,446,391,30,72,14,0,9,26,12,5,44,151,0.184,0.268,0.289,0.557,54,113,7,3,1,6,2
Jason Heyward,ATL,2013,8,RF,23,104,440,382,67,97,22,1,14,38,2,4,48,73,0.254,0.349,0.427,0.776,114,163,7,8,1,0,1
Evan Gattis,ATL,2013,9,UT,26,105,382,354,44,86,21,0,21,65,0,0,21,81,0.243,0.291,0.48,0.771,109,170,10,4,0,3,4
Jordan Schafer,ATL,2013,10,OF,26,94,265,231,32,57,8,3,3,21,22,6,29,73,0.247,0.331,0.346,0.677,88,80,1,0,5,0,2
Gerald Laird,ATL,2013,11,C,33,47,141,121,12,34,8,0,1,13,1,1,14,23,0.281,0.367,0.372,0.739,106,45,4,3,2,1,0
Reed Johnson,ATL,2013,12,OF,36,74,136,123,13,30,7,1,1,11,0,0,6,32,0.244,0.311,0.341,0.653,81,42,3,6,1,0,0
Juan Francisco,ATL,2013,13,3B,26,35,115,108,10,26,2,0,5,16,0,1,7,43,0.241,0.287,0.398,0.685,87,43,0,0,0,0,0
Ramiro Pena,ATL,2013,14,IF,27,50,107,97,14,27,5,1,3,12,0,2,8,18,0.278,0.33,0.443,0.773,112,43,1,0,1,1,0
Elliot Johnson,ATL,2013,15,2B,29,32,102,92,8,24,5,2,0,10,8,2,8,18,0.261,0.317,0.359,0.676,87,33,2,0,1,1,0
Joey Terdoslavich,ATL,2013,16,UT,24,55,92,79,11,17,4,0,0,4,1,0,12,24,0.215,0.315,0.266,0.581,63,21,2,0,0,1,1
Paul Janish,ATL,2013,17,IF,30,52,45,41,7,7,2,0,0,2,0,0,3,11,0.171,0.222,0.22,0.442,23,9,3,0,0,1,0
Tyler Pastornicky,ATL,2013,18,UT,23,20,33,30,5,9,1,0,0,0,0,0,1,5,0.3,0.323,0.333,0.656,82,10,0,0,2,0,0
Jose Constanza,ATL,2013,19,OF,29,21,31,31,2,8,0,0,0,3,0,3,0,5,0.258,0.258,0.258,0.516,44,8,1,0,0,0,0
Todd Cunningham,ATL,2013,20,OF,24,8,8,8,2,2,0,0,0,0,0,0,0,3,0.25,0.25,0.25,0.5,39,2,1,0,0,0,0
Philip Gosselin,ATL,2013,21,2B,24,4,7,6,2,2,0,0,0,0,0,0,1,2,0.333,0.429,0.333,0.762,115,2,0,0,0,0,1
Blake DeWitt,ATL,2013,22,3B,27,4,4,3,0,1,1,0,0,0,0,0,0,0,0.333,0.333,0.667,1.0,168,2,0,0,1,0,0
Christian Bethancourt,ATL,2013,23, ,21,1,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100,0,0,0,0,0,0
Mike Minor,ATL,2013,24,P,25,32,70,61,3,10,1,0,1,6,0,0,2,25,0.164,0.19,0.23,0.42,16,14,0,0,7,0,0
Kris Medlen,ATL,2013,25,P,27,32,67,55,3,9,2,0,1,4,1,0,4,23,0.164,0.217,0.255,0.471,30,14,0,0,7,1,0
Julio Teheran,ATL,2013,26,P,22,30,65,58,1,13,3,0,0,2,0,0,2,16,0.224,0.25,0.276,0.526,46,16,1,0,5,0,0
Paul Maholm,ATL,2013,27,P,31,26,57,52,2,7,2,0,0,2,0,0,1,25,0.135,0.151,0.173,0.324,-10,9,1,0,4,0,0
Tim Hudson,ATL,2013,28,P,37,21,48,38,2,6,1,0,1,3,0,0,4,14,0.158,0.238,0.263,0.501,39,10,1,0,6,0,0
